epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.959,1.43304,2.20536,1.4863,0.55585,0.47079,0.49139,0.27859,1.51517,1.35943,1.43716,0.00332522,0.00332522,0.00332522
2,485.637,1.38679,1.62151,1.44954,0.45017,0.32445,0.30539,0.1718,1.68695,2.01487,1.65126,0.00659264,0.00659264,0.00659264
3,703.783,1.54974,1.96475,1.58989,0.22496,0.1868,0.12675,0.06062,2.04443,3.28472,2.07845,0.00979405,0.00979405,0.00979405
4,913.768,1.62693,2.17162,1.67728,0.40171,0.28664,0.27456,0.14573,1.77526,2.2442,1.77503,0.009703,0.009703,0.009703
5,1125.63,1.5622,2.02042,1.62815,0.43289,0.30692,0.29665,0.16633,1.63381,1.94565,1.65363,0.009604,0.009604,0.009604
6,1352.81,1.51191,1.90497,1.59514,0.45066,0.36186,0.33866,0.19764,1.57462,1.82382,1.60737,0.009505,0.009505,0.009505
7,1565.44,1.47924,1.83035,1.56557,0.51141,0.36153,0.37708,0.22465,1.52695,1.6959,1.56275,0.009406,0.009406,0.009406
8,1775.01,1.45066,1.76019,1.53566,0.55241,0.41342,0.43504,0.26371,1.46824,1.56679,1.51281,0.009307,0.009307,0.009307
9,1995.87,1.43161,1.71857,1.52357,0.54468,0.42747,0.44232,0.26509,1.48362,1.52687,1.52107,0.009208,0.009208,0.009208
10,2226.01,1.40394,1.66122,1.50445,0.57667,0.42453,0.44192,0.27072,1.45566,1.50419,1.4951,0.009109,0.009109,0.009109
11,2445.54,1.39608,1.63994,1.49719,0.60923,0.43735,0.47431,0.2953,1.42845,1.44841,1.48009,0.00901,0.00901,0.00901
12,2682.12,1.37781,1.59272,1.47767,0.60354,0.4644,0.49408,0.30899,1.38115,1.39379,1.42426,0.008911,0.008911,0.008911
13,2891.41,1.36783,1.57506,1.47108,0.61009,0.45868,0.49704,0.30965,1.37345,1.35924,1.41549,0.008812,0.008812,0.008812
14,3106.27,1.35587,1.53929,1.45533,0.61702,0.47916,0.51388,0.32957,1.34034,1.31987,1.40246,0.008713,0.008713,0.008713
15,3325.11,1.34861,1.51523,1.44901,0.63707,0.47809,0.52017,0.32852,1.34266,1.30839,1.38648,0.008614,0.008614,0.008614
16,3546.01,1.33642,1.50234,1.44249,0.61769,0.49688,0.52985,0.34037,1.32643,1.28258,1.37939,0.008515,0.008515,0.008515
17,3754.99,1.32838,1.48569,1.4356,0.63343,0.49843,0.54361,0.34692,1.32036,1.25483,1.37802,0.008416,0.008416,0.008416
18,3964.29,1.3209,1.47615,1.43174,0.65356,0.49935,0.55411,0.35503,1.30462,1.22645,1.36528,0.008317,0.008317,0.008317
19,4179.28,1.30988,1.45507,1.42452,0.65182,0.51131,0.56803,0.36839,1.29064,1.18795,1.35512,0.008218,0.008218,0.008218
20,4394.17,1.30576,1.43853,1.41794,0.64296,0.51722,0.5631,0.36939,1.27249,1.19478,1.34241,0.008119,0.008119,0.008119
21,4610.25,1.30065,1.42318,1.41001,0.64647,0.53544,0.57388,0.37511,1.27994,1.17007,1.33981,0.00802,0.00802,0.00802
22,4821.88,1.29783,1.41317,1.40684,0.6563,0.53551,0.5838,0.38118,1.26301,1.14964,1.32189,0.007921,0.007921,0.007921
23,5039.36,1.28701,1.38999,1.39669,0.66575,0.5314,0.58232,0.38188,1.25429,1.13732,1.31704,0.007822,0.007822,0.007822
24,5248.38,1.27744,1.38209,1.39475,0.65872,0.54083,0.58852,0.39004,1.25611,1.13439,1.31774,0.007723,0.007723,0.007723
25,5457.14,1.26956,1.36537,1.38524,0.66963,0.54011,0.5932,0.39357,1.24217,1.12114,1.30524,0.007624,0.007624,0.007624
26,5666.07,1.26722,1.35479,1.38339,0.65669,0.56217,0.60116,0.398,1.24451,1.10583,1.30979,0.007525,0.007525,0.007525
27,5880.09,1.26176,1.35206,1.38056,0.66439,0.55675,0.60324,0.40151,1.23125,1.10615,1.30123,0.007426,0.007426,0.007426
28,6094.2,1.26148,1.33763,1.375,0.65723,0.56888,0.6065,0.403,1.22419,1.09147,1.29422,0.007327,0.007327,0.007327
29,6303.06,1.25277,1.32898,1.37411,0.67427,0.57002,0.61104,0.40593,1.22278,1.07715,1.29106,0.007228,0.007228,0.007228
30,6531.82,1.24299,1.31683,1.36328,0.66878,0.56758,0.61378,0.40733,1.21633,1.0668,1.285,0.007129,0.007129,0.007129
31,6746.35,1.2448,1.30802,1.36393,0.65923,0.57952,0.61748,0.41245,1.21632,1.05867,1.284,0.00703,0.00703,0.00703
32,6955.26,1.24236,1.30692,1.36233,0.68227,0.56946,0.61925,0.41441,1.21244,1.05618,1.27879,0.006931,0.006931,0.006931
33,7164.15,1.2371,1.29099,1.35763,0.68618,0.57057,0.62052,0.41371,1.2089,1.05679,1.27727,0.006832,0.006832,0.006832
34,7372.8,1.23335,1.28636,1.35411,0.69351,0.56736,0.62295,0.41654,1.20204,1.05122,1.26975,0.006733,0.006733,0.006733
35,7581.79,1.22622,1.27561,1.34367,0.68907,0.57298,0.62556,0.41914,1.19866,1.04442,1.26861,0.006634,0.006634,0.006634
36,7790.95,1.22979,1.27466,1.34471,0.70467,0.56518,0.62757,0.42149,1.19393,1.03821,1.26669,0.006535,0.006535,0.006535
37,8002.15,1.21924,1.25715,1.33958,0.69933,0.57293,0.6281,0.42324,1.19381,1.03689,1.267,0.006436,0.006436,0.006436
38,8215.54,1.21405,1.25238,1.33635,0.70168,0.57469,0.6292,0.42522,1.19335,1.03189,1.2671,0.006337,0.006337,0.006337
39,8424.47,1.21339,1.23926,1.33824,0.70404,0.57369,0.62994,0.42601,1.1918,1.02905,1.2655,0.006238,0.006238,0.006238
40,8633.45,1.20758,1.23828,1.32957,0.69947,0.57777,0.63139,0.4274,1.18851,1.02637,1.26259,0.006139,0.006139,0.006139
41,8846.43,1.20694,1.23506,1.33008,0.70378,0.57706,0.63228,0.42876,1.18578,1.02421,1.26036,0.00604,0.00604,0.00604
42,9061.92,1.19821,1.21792,1.32436,0.70666,0.57642,0.63304,0.42968,1.18492,1.02028,1.25892,0.005941,0.005941,0.005941
43,9279.61,1.20191,1.2177,1.3255,0.70698,0.57966,0.63433,0.43019,1.18455,1.01871,1.2582,0.005842,0.005842,0.005842
44,9496.49,1.1937,1.21076,1.32249,0.71004,0.57875,0.63502,0.43088,1.18303,1.01543,1.2562,0.005743,0.005743,0.005743
45,9714.32,1.18575,1.20284,1.31883,0.70712,0.57909,0.63541,0.43184,1.1818,1.01268,1.25513,0.005644,0.005644,0.005644
46,9927.05,1.18823,1.19702,1.31985,0.70687,0.58105,0.63632,0.43242,1.18081,1.00978,1.25411,0.005545,0.005545,0.005545
47,10135.9,1.17933,1.18482,1.31229,0.70981,0.58052,0.637,0.43321,1.17982,1.00763,1.25321,0.005446,0.005446,0.005446
48,10345,1.18355,1.18743,1.31264,0.70467,0.58389,0.6376,0.43364,1.17876,1.00605,1.25236,0.005347,0.005347,0.005347
49,10553.7,1.1797,1.17365,1.30768,0.70205,0.58446,0.6381,0.43437,1.17826,1.00453,1.25148,0.005248,0.005248,0.005248
50,10769.9,1.1717,1.16788,1.30642,0.69935,0.58761,0.6389,0.43517,1.17755,1.0019,1.25086,0.005149,0.005149,0.005149
51,11002.5,1.16866,1.15632,1.2997,0.70291,0.58819,0.63972,0.43554,1.17661,0.99968,1.24991,0.00505,0.00505,0.00505
52,11212.2,1.17124,1.15702,1.30196,0.69935,0.58921,0.64083,0.43626,1.17578,0.99834,1.24943,0.004951,0.004951,0.004951
53,11420.9,1.1609,1.15037,1.29678,0.69962,0.58973,0.64107,0.43693,1.17567,0.99628,1.24938,0.004852,0.004852,0.004852
54,11629.7,1.15769,1.14357,1.2937,0.7019,0.58954,0.64165,0.43721,1.17525,0.9949,1.24941,0.004753,0.004753,0.004753
