epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6134,1.75131,2.904,1.80333,0.5274,0.44293,0.45507,0.21263,1.85818,1.69688,1.76669,0.00331811,0.00331811,0.00331811
2,151.949,1.64991,1.95032,1.68284,0.46444,0.30981,0.32721,0.14117,2.04856,2.1282,1.96152,0.00656913,0.00656913,0.00656913
3,217.522,1.81968,2.3231,1.85377,0.14513,0.1708,0.07937,0.02597,2.53492,4.64895,2.75209,0.00973766,0.00973766,0.00973766
4,283.478,1.93238,2.64365,2.00484,0.425,0.2024,0.17056,0.06404,2.24983,3.41226,2.3327,0.00962875,0.00962875,0.00962875
5,348.881,1.84487,2.4659,1.93614,0.33697,0.27113,0.2127,0.09064,2.1023,2.89515,2.10722,0.009505,0.009505,0.009505
6,412.893,1.78076,2.32408,1.8946,0.43173,0.29456,0.30477,0.13253,2.09858,2.21543,2.11503,0.00938125,0.00938125,0.00938125
7,477.192,1.74137,2.19306,1.84279,0.4721,0.32349,0.3257,0.1354,2.04492,2.17063,2.04047,0.0092575,0.0092575,0.0092575
8,541.739,1.70981,2.11247,1.81655,0.56118,0.40863,0.44472,0.21951,1.87177,1.76273,1.87349,0.00913375,0.00913375,0.00913375
9,606.066,1.66607,2.02555,1.78139,0.59369,0.43382,0.4643,0.23665,1.80027,1.66494,1.77535,0.00901,0.00901,0.00901
10,670.578,1.65281,1.98402,1.7621,0.6015,0.40282,0.45521,0.23564,1.78696,1.73787,1.80016,0.00888625,0.00888625,0.00888625
11,735.263,1.62021,1.89957,1.7345,0.60854,0.44892,0.49482,0.25454,1.75913,1.71246,1.79772,0.0087625,0.0087625,0.0087625
12,799.898,1.59911,1.85856,1.71211,0.622,0.46717,0.52289,0.27498,1.73189,1.50794,1.74687,0.00863875,0.00863875,0.00863875
13,864.527,1.57846,1.80434,1.69562,0.6066,0.44118,0.48897,0.26386,1.69868,1.65585,1.7143,0.008515,0.008515,0.008515
14,928.686,1.55782,1.7599,1.67427,0.63927,0.46872,0.52652,0.28749,1.65765,1.47779,1.67025,0.00839125,0.00839125,0.00839125
15,993.253,1.54445,1.73857,1.66167,0.69521,0.45179,0.54027,0.29948,1.62921,1.46508,1.64919,0.0082675,0.0082675,0.0082675
16,1057.41,1.53505,1.70528,1.65498,0.66489,0.50378,0.56514,0.32706,1.59297,1.38983,1.62525,0.00814375,0.00814375,0.00814375
17,1121.79,1.52113,1.67151,1.63291,0.64853,0.51489,0.56527,0.32282,1.5805,1.39953,1.6099,0.00802,0.00802,0.00802
18,1186.14,1.51243,1.65499,1.63022,0.65634,0.54972,0.60038,0.34811,1.55677,1.29642,1.58867,0.00789625,0.00789625,0.00789625
19,1250.57,1.49878,1.61561,1.61004,0.68417,0.55145,0.60791,0.35386,1.54879,1.28917,1.58281,0.0077725,0.0077725,0.0077725
20,1314.86,1.48382,1.59448,1.59965,0.71021,0.53968,0.61579,0.35929,1.53873,1.25072,1.56714,0.00764875,0.00764875,0.00764875
21,1379.26,1.47552,1.56862,1.59295,0.71419,0.55212,0.61427,0.36107,1.53826,1.25112,1.55502,0.007525,0.007525,0.007525
